GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD41,Margin of Error; Total: - Public transportation (excluding taxicab): - Unpaid family workers
HD01_VD42,Estimate; Total: - Walked:
HD02_VD42,Margin of Error; Total: - Walked:
HD01_VD43,Estimate; Total: - Walked: - Private for-profit wage and salary workers:
HD02_VD43,Margin of Error; Total: - Walked: - Private for-profit wage and salary workers:
HD01_VD44,Estimate; Total: - Walked: - Private for-profit wage and salary workers: - Employee of private company workers
HD02_VD44,Margin of Error; Total: - Walked: - Private for-profit wage and salary workers: - Employee of private company workers
HD01_VD45,Estimate; Total: - Walked: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD02_VD45,Margin of Error; Total: - Walked: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD01_VD46,Estimate; Total: - Walked: - Private not-for-profit wage and salary workers
HD02_VD46,Margin of Error; Total: - Walked: - Private not-for-profit wage and salary workers
HD01_VD47,Estimate; Total: - Walked: - Local government workers
HD02_VD47,Margin of Error; Total: - Walked: - Local government workers
HD01_VD48,Estimate; Total: - Walked: - State government workers
HD02_VD48,Margin of Error; Total: - Walked: - State government workers
HD01_VD49,Estimate; Total: - Walked: - Federal government workers
HD02_VD49,Margin of Error; Total: - Walked: - Federal government workers
HD01_VD50,Estimate; Total: - Walked: - Self-employed in own not incorporated business workers
HD02_VD50,Margin of Error; Total: - Walked: - Self-employed in own not incorporated business workers
HD01_VD51,Estimate; Total: - Walked: - Unpaid family workers
HD02_VD51,Margin of Error; Total: - Walked: - Unpaid family workers
HD01_VD52,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD02_VD52,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD01_VD53,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers:"
HD02_VD53,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers:"
HD01_VD54,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Employee of private company workers"
HD02_VD54,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Employee of private company workers"
HD01_VD55,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers"
HD02_VD55,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers"
HD01_VD56,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Private not-for-profit wage and salary workers"
HD02_VD56,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Private not-for-profit wage and salary workers"
HD01_VD57,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Local government workers"
HD02_VD57,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Local government workers"
HD01_VD58,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - State government workers"
HD02_VD58,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - State government workers"
HD01_VD59,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Federal government workers"
HD02_VD59,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Federal government workers"
HD01_VD60,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Self-employed in own not incorporated business workers"
HD02_VD60,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Self-employed in own not incorporated business workers"
HD01_VD61,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Unpaid family workers"
HD02_VD61,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Unpaid family workers"
HD01_VD62,Estimate; Total: - Worked at home:
HD02_VD62,Margin of Error; Total: - Worked at home:
HD01_VD63,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers:
HD02_VD63,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers:
HD01_VD64,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers
HD02_VD64,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers
HD01_VD65,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD02_VD65,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers
HD01_VD66,Estimate; Total: - Worked at home: - Private not-for-profit wage and salary workers
HD02_VD66,Margin of Error; Total: - Worked at home: - Private not-for-profit wage and salary workers
HD01_VD67,Estimate; Total: - Worked at home: - Local government workers
HD02_VD67,Margin of Error; Total: - Worked at home: - Local government workers
HD01_VD68,Estimate; Total: - Worked at home: - State government workers
HD02_VD68,Margin of Error; Total: - Worked at home: - State government workers
HD01_VD69,Estimate; Total: - Worked at home: - Federal government workers
HD02_VD69,Margin of Error; Total: - Worked at home: - Federal government workers
HD01_VD70,Estimate; Total: - Worked at home: - Self-employed in own not incorporated business workers
HD02_VD70,Margin of Error; Total: - Worked at home: - Self-employed in own not incorporated business workers
HD01_VD71,Estimate; Total: - Worked at home: - Unpaid family workers
HD02_VD71,Margin of Error; Total: - Worked at home: - Unpaid family workers
